1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)
2.3.1.179	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)
2.3.2.22	Cyclo(L-leucyl-L-leucyl) synthase (EC 2.3.2.22) (Cyclodileucine synthase) (Cyclodipeptide synthase) (CDPS)
2.7.1.11	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)
2.5.1.n9	Heptaprenylglyceryl phosphate synthase (HepGP synthase) (EC 2.5.1.n9) (Glycerol-1-phosphate heptaprenyltransferase)
2.7.4.6	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)
2.4.2.43	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase) (Polymyxin resistance protein PmrK) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)
2.5.1.54	Phospho-2-dehydro-3-deoxyheptonate aldolase AroG (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)
2.4.1.288	"Galactofuranosyl transferase GlfT2 (GalTr) (EC 2.4.1.288) (Beta-D-(1->5)galactofuranosyltransferase) (Beta-D-(1->6)galactofuranosyltransferase) (Galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase) (UDP-Galf:alpha-3-L-rhamnosyl-alpha-D-GlcNAc-pyrophosphate polyprenol, UDP-galactofuranosyl transferase)"
2.7.7.4	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)
2.7.4.3	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)
2.4.99.12	3-deoxy-D-manno-octulosonic acid transferase (Kdo transferase) (EC 2.4.99.12) (Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase) (Monofunctional Kdo transferase)
2.1.1.215	tRNA (guanine(26)-N(2)/guanine(27)-N(2))-dimethyltransferase (EC 2.1.1.215)
2.7.1.148	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)
2.1.1.182	"Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)"
2.1.1.133	Precorrin-4 C(11)-methyltransferase (EC 2.1.1.133) (Precorrin-3 methylase)
2.7.1.166	3-deoxy-D-manno-octulosonic acid kinase (Kdo kinase) (EC 2.7.1.166)
2.4.1.1	Maltodextrin phosphorylase (EC 2.4.1.1)
2.4.2.14	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)
2.6.1.1	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)
2.7.1.39	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)
2.6.1.85	"Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)"
2.5.1.48	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)
2.7.7.8	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)
2.1.3.2	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
2.4.1.10	Levansucrase (EC 2.4.1.10) (Beta-D-fructofuranosyl transferase) (Sucrose 6-fructosyl transferase)
2.7.7.72	"Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase (EC 3.1.3.-)]"
2.5.1.61	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)
2.4.2.4	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)
2.1.2.2	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)
2.7.3.9	"Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)"
2.4.2.10	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)
2.6.1.66	Valine--pyruvate aminotransferase (EC 2.6.1.66) (Alanine--valine transaminase) (Transaminase C)
2.3.1.54	Formate acetyltransferase 1 (EC 2.3.1.54) (Pyruvate formate-lyase 1)
2.7.2.3	Phosphoglycerate kinase (EC 2.7.2.3)
2.5.1.47	Cysteine synthase A (CSase A) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase A) (OAS-TL A) (O-acetylserine sulfhydrylase A)
2.4.2.3	Uridine phosphorylase (UPase) (UrdPase) (EC 2.4.2.3)
2.1.1.271	Cobalt-precorrin-4 C(11)-methyltransferase (EC 2.1.1.271) (Cobalt-precorrin-3 methylase)
2.1.1.289	Cobalt-precorrin-7 C(5)-methyltransferase (EC 2.1.1.289) (Cobalt-precorrin-6Y C(5)-methyltransferase) (Cobalt-precorrin-6 methyltransferase) (Cobalt-precorrin-6Y methylase)
2.3.1.16	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)
2.7.8.7	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)
2.7.2.2	Carbamate kinase 1 (EC 2.7.2.2)
2.3.1.n3	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.n3) (Lysophosphatidic acid synthase) (LPA synthase)
2.7.7.43	N-acylneuraminate cytidylyltransferase (EC 2.7.7.43) (CMP-N-acetylneuraminic acid synthase) (CMP-NeuNAc synthase) (CMP-sialic acid synthase)
2.7.2.8	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (AGK)
2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)
2.7.1.71	Shikimate kinase 1 (SK 1) (EC 2.7.1.71) (Shikimate kinase I) (SKI)
2.7.7.61	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase (EC 2.7.7.61) (Apo-ACP nucleodityltransferase) (Holo-ACP synthase) (Holo-citrate lyase synthase)
2.7.4.25	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase) (Protein MssA) (p25)
2.7.1.6	Galactokinase (EC 2.7.1.6) (Galactose kinase)
2.1.1.170	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase) (Glucose-inhibited division protein B)
2.7.1.2	Glucokinase (EC 2.7.1.2) (Glucose kinase)
2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)
2.7.6.1	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)
2.6.99.2	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)
2.1.1.77	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)
2.3.1.15	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)
2.7.4.1	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)
2.7.2.11	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)
2.9.1.1	L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase)
2.1.2.1	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)
2.2.1.2	Transaldolase B (EC 2.2.1.2)
2.1.1.45	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)
2.1.1.177	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)
2.3.1.57	Spermidine N(1)-acetyltransferase (SAT) (EC 2.3.1.57) (Spermidine/spermine N(1)-acetyltransferase) (SSAT)
2.6.1.2	Glutamate-pyruvate aminotransferase AlaA (EC 2.6.1.2)
2.5.1.18	Glutathione S-transferase GstA (EC 2.5.1.18) (GST B1-1)
2.7.1.15	Ribokinase (EC 2.7.1.15)
2.4.2.22	Xanthine phosphoribosyltransferase (EC 2.4.2.22) (Xanthine-guanine phosphoribosyltransferase) (XGPRT)
2.3.1.8	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)
2.7.7.65	Probable diguanylate cyclase AdrA (DGC) (EC 2.7.7.65)
2.3.1.29	2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (EC 2.3.1.29) (Glycine acetyltransferase)
2.7.7.19	Poly(A) polymerase I (PAP I) (EC 2.7.7.19) (Plasmid copy number protein)
2.3.3.16	Citrate synthase (EC 2.3.3.16)
2.7.8.33	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33) (UDP-GlcNAc:undecaprenyl-phosphate GlcNAc-1-phosphate transferase) (Undecaprenyl-phosphate GlcNAc-1-phosphate transferase)
2.3.1.241	Lipid A biosynthesis lauroyltransferase (EC 2.3.1.241) (Kdo(2)-lipid IV(A) lauroyltransferase)
2.3.1.242	Lipid A biosynthesis palmitoleoyltransferase (EC 2.3.1.242) (Kdo(2)-lipid IV(A) palmitoleoyltransferase)
2.5.1.90	Octaprenyl-diphosphate synthase (EC 2.5.1.90) (All-trans-octaprenyl-diphosphate synthase) (Octaprenyl pyrophosphate synthase) (OPP synthase)
2.7.1.40	Pyruvate kinase I (EC 2.7.1.40) (PK-1)
2.4.1.129	Peptidoglycan synthase FtsI (EC 2.4.1.129) (Penicillin-binding protein 3) (PBP-3) (Peptidoglycan glycosyltransferase 3)
2.1.1.186	Ribosomal RNA large subunit methyltransferase M (EC 2.1.1.186) (23S rRNA (cytidine2498-2'-O)-methyltransferase) (23S rRNA 2'-O-ribose methyltransferase RlmM)
2.1.1.171	Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.171) (16S rRNA m2G966 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)
2.1.1.200	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ (EC 2.1.1.200) (tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase) (tRNA Cm32/Um32 methyltransferase)
2.8.4.4	Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate(89)-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)
2.7.7.75	Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75)
2.3.1.61	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)
2.5.1.9	Riboflavin synthase (RS) (EC 2.5.1.9)
2.7.4.16	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)
2.1.1.207	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL)
2.1.1.193	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193) (16S rRNA m3U1498 methyltransferase)
2.1.1.166	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (Cell division protein FtsJ) (rRNA (uridine-2'-O-)-methyltransferase)
2.8.4.2	Arsenate-mycothiol transferase ArsC1 (EC 2.8.4.2) (Mycothiol-dependent arsenate reductase ArsC1)
2.4.2.36	Exotoxin A (ETA) (EC 2.4.2.36) (NAD(+)--diphthamide ADP-ribosyltransferase) (PE)
2.5.1.72	Quinolinate synthase A (EC 2.5.1.72)
2.7.1.51	L-fuculokinase (EC 2.7.1.51) (L-fuculose kinase)
2.1.1.63	"Methylated-DNA--protein-cysteine methyltransferase, constitutive (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)"
2.10.1.1	Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1)
2.7.7.80	Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (MoaD protein adenylase) (Molybdopterin-converting factor subunit 1 adenylase) (Sulfur carrier protein MoaD adenylyltransferase)
2.6.1.62	"Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)"
2.8.1.6	Biotin synthase (EC 2.8.1.6)
2.3.1.47	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)
2.1.1.197	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
2.1.1.13	"Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Methionine synthase, vitamin-B12-dependent) (MS)"
2.7.8.12	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12) (CGPTase) (Major teichoic acid biosynthesis protein F) (Polyglycerol phosphate polymerase)
2.3.1.9	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (Beta-ketothiolase PhbA)
2.5.1.75	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)
2.7.8.37	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL (RPnTP synthase subunit PhnL) (EC 2.7.8.37)
2.7.4.23	"Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23) (Ribose 1,5-bisphosphokinase)"
2.2.1.9	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)
2.6.1.16	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)
2.3.1.37	5-aminolevulinate synthase (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)
2.7.1.66	Undecaprenol kinase (UdpK) (EC 2.7.1.66)
2.3.1.230	2-heptyl-4(1H)-quinolone synthase PqsD (PqsD) (EC 2.3.1.230)
2.3.1.191	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase (UDP-3-O-(3-OHC14)-GlcN N-acyltransferase) (EC 2.3.1.191) (Protein FirA) (Rifampicin resistance protein) (UDP-3-O-(3-hydroxytetradecanoyl)glucosamine N-acyltransferase)
2.1.1.35	tRNA/tmRNA (uracil-C(5))-methyltransferase (EC 2.1.1.-) (EC 2.1.1.35) (tRNA (uracil(54)-C(5))-methyltransferase) (tRNA(m5U54)-methyltransferase) (RUMT) (tmRNA (uracil(341)-C(5))-methyltransferase)
2.7.9.2	"Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)"
2.6.1.52	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)
2.3.1.243	Lipid A biosynthesis myristoyltransferase (EC 2.3.1.243) (Kdo(2)-lauroyl-lipid IV(A) myristoyltransferase)
2.1.1.265	Tellurite methyltransferase (EC 2.1.1.265) (Chalcogen-detoxifying protein TehB) (Selenite methyltransferase) (Tellurite resistance protein TehB)
2.7.6.3	"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)"
2.4.1.60	Abequosyltransferase RfbV (EC 2.4.1.60) (O antigen biosynthesis abequosyltransferase RfbV)
2.3.1.n2	Phosphate acyltransferase (EC 2.3.1.n2) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)
2.1.2.10	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)
2.7.7.59	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]
2.7.1.130	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)
2.2.1.1	Transketolase 1 (TK 1) (EC 2.2.1.1)
2.6.1.59	"dTDP-4-amino-4,6-dideoxygalactose transaminase (EC 2.6.1.59)"
2.4.1.180	UDP-N-acetyl-D-mannosaminuronic acid transferase (UDP-ManNAcA transferase) (EC 2.4.1.180)
2.7.7.56	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)
2.1.1.72	DNA adenine methyltransferase YhdJ (EC 2.1.1.72)
2.4.2.29	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)
2.5.1.3	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)
2.7.1.83	Pseudouridine kinase (EC 2.7.1.83)
2.7.7.42	Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42) (Glutamine-synthetase adenylyltransferase) (ATase) ([Glutamate--ammonia-ligase] adenylyltransferase)
2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)
2.5.1.30	Heptaprenyl diphosphate synthase component 1 (HepPP synthase subunit 1) (EC 2.5.1.30) (Spore germination protein C1)
2.1.1.163	Demethylmenaquinone methyltransferase (EC 2.1.1.163)
2.8.1.2	3-mercaptopyruvate sulfurtransferase (MST) (EC 2.8.1.2) (Rhodanese-like protein)
2.5.1.17	"Cob(I)yrinic acid a,c-diamide adenosyltransferase (EC 2.5.1.17) (Cob(I)alamin adenosyltransferase) (Corrinoid adenosyltransferase)"
2.8.3.21	L-carnitine CoA-transferase (EC 2.8.3.21) (Crotonobetainyl-CoA:carnitine CoA-transferase)
2.4.1.15	"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15) (Osmoregulatory trehalose synthesis protein A) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)"
2.1.1.223	tRNA1(Val) (adenine(37)-N6)-methyltransferase (EC 2.1.1.223) (tRNA m6A37 methyltransferase)
2.7.1.184	Sulfofructose kinase (SF kinase) (EC 2.7.1.184)
2.5.1.74	"1,4-dihydroxy-2-naphthoate octaprenyltransferase (DHNA-octaprenyltransferase) (EC 2.5.1.74)"
2.7.1.5	L-Rhamnulokinase (RhaB) (RhuK) (EC 2.7.1.5) (ATP:L-rhamnulose phosphotransferase) (L-rhamnulose 1-kinase) (Rhamnulose kinase)
2.7.7.77	Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide biosynthesis protein A) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase) (Protein FA)
2.7.1.55	D-allose kinase (Allokinase) (EC 2.7.1.55)
2.1.1.176	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)
2.1.1.187	23S rRNA (guanine(745)-N(1))-methyltransferase (EC 2.1.1.187) (23S rRNA m1G745 methyltransferase) (Ribosomal RNA large subunit methyltransferase A)
2.5.1.99	All-trans-phytoene synthase (PSase) (EC 2.5.1.99)
2.7.1.113	Deoxyguanosine kinase (DGUO kinase) (dGK) (EC 2.7.1.113)
2.7.14.1	Protein-arginine kinase (EC 2.7.14.1)
2.1.1.266	Ribosomal RNA large subunit methyltransferase J (EC 2.1.1.266) (23S rRNA (adenine(2030)-N6)-methyltransferase) (23S rRNA m6A2030 methyltransferase)
2.7.1.53	L-xylulose/3-keto-L-gulonate kinase (L-xylulokinase) (EC 2.7.1.-) (EC 2.7.1.53) (3-dehydro-L-gulonate kinase)
2.6.1.13	Ornithine aminotransferase (OAT) (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)
2.7.7.87	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein YwlC) (tRNA threonylcarbamoyladenosine biosynthesis protein YwlC)
2.1.1.298	50S ribosomal protein L3 glutamine methyltransferase (L3 MTase) (EC 2.1.1.298) (N5-glutamine methyltransferase PrmB)
2.7.1.50	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)
2.7.1.35	Pyridoxine kinase (EC 2.7.1.35) (PN/PL/PM kinase) (Pyridoxal kinase) (Pyridoxamine kinase) (Vitamin B6 kinase)
2.3.1.204	Octanoyl-[GcvH]:protein N-octanoyltransferase (EC 2.3.1.204) (Octanoyl-[GcvH]:E2 amidotransferase)
2.1.1.74	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO (EC 2.1.1.74) (Folate-dependent tRNA (uracil-5-)-methyltransferase) (Folate-dependent tRNA(M-5-U54)-methyltransferase)
2.7.1.92	5-dehydro-2-deoxygluconokinase (EC 2.7.1.92) (2-deoxy-5-keto-D-gluconate kinase) (DKG kinase)
2.6.1.82	Putrescine aminotransferase (EC 2.6.1.82) (Putrescine--2-oxoglutaric acid transaminase) (PAT) (PATase)
2.1.1.174	Ribosomal RNA large subunit methyltransferase G (EC 2.1.1.174) (23S rRNA m2G1835 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RlmG)
2.3.1.31	Homoserine O-acetyltransferase (EC 2.3.1.31) (Homoserine O-trans-acetylase) (HTA) (Homoserine transacetylase)
2.7.1.60	N-acetylmannosamine kinase (EC 2.7.1.60) (ManNAc kinase) (N-acetyl-D-mannosamine kinase)
2.6.1.19	4-aminobutyrate aminotransferase PuuE (EC 2.6.1.19) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase)
2.6.1.105	"L-Lysine--8-amino-7-oxononanoate transaminase (EC 2.6.1.105) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase) (L-Lysine--8-amino-7-oxononanoate aminotransferase)"
2.4.1.315	"Processive diacylglycerol beta-glucosyltransferase (EC 2.4.1.315) (Beta-diglucosyldiacylglycerol synthase) (Beta-DGS) (DGlcDAG synthase) (Glc2-DAG synthase) (Beta-gentiobiosyldiacylglycerol synthase) (Beta-monoglucosyldiacylglycerol synthase) (Beta-MGS) (MGlcDAG synthase) (Beta-triglucosyldiacylglycerol synthase) (TGlcDAG synthase) (Diglucosyl diacylglycerol synthase (1,6-linking)) (Glucosyl-beta-1,6-glucosyldiacylglycerol synthase) (UDP glucosyltransferase) (UDP-glucose:1,2-diacylglycerol-3-beta-D-glucosyltransferase)"
2.8.4.5	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB (EC 2.8.4.5) (tRNA-t(6)A37 methylthiotransferase)
2.1.1.217	tRNA (adenine(22)-N(1))-methyltransferase (EC 2.1.1.217) (TrMet(m1A22)) (tRNA(m1A22)-methyltransferase) (tRNA(m1A22)MTase)
2.3.1.181	Octanoyltransferase LipM (EC 2.3.1.181) (Octanoyl-[acyl-carrier-protein]:[GcvH] N-octanoyltransferase)
2.1.1.190	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD (EC 2.1.1.190) (23S rRNA(m5U1939)-methyltransferase)
2.4.1.325	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase (EC 2.4.1.325) (4-alpha-L-fucosyltransferase) (TDP-Fuc4NAc:lipid II Fuc4NAc transferase) (Fuc4NAc transferase)
2.5.1.27	Adenylate dimethylallyltransferase (EC 2.5.1.27) (Dimethylallyl transferase) (Isopentenyl transferase) (Trans-zeatin producing protein)
2.1.1.199	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)
2.5.1.31	"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) (EC 2.5.1.31) (Ditrans,polycis-undecaprenylcistransferase) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)"
2.7.4.8	Guanylate kinase (EC 2.7.4.8) (GMP kinase)
2.4.2.17	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)
